date,num_trades,total_pnl,return_pct,win_rate,eod_equity
2025-08-01,10,-45869.40,-4.59,0.00,954130.60
2025-08-04,10,-39984.21,-4.19,10.00,914146.39
2025-08-05,10,-43265.13,-4.73,0.00,870881.26
2025-08-06,10,-17961.81,-2.06,20.00,852919.45
2025-08-07,10,-29696.73,-3.48,20.00,823222.72
2025-08-08,10,-16934.63,-2.06,20.00,806288.09
2025-08-11,10,-20443.51,-2.54,20.00,785844.58
2025-08-12,10,-36742.28,-4.68,0.00,749102.30
2025-08-14,10,-25399.28,-3.39,10.00,723703.02
2025-08-18,10,-9648.26,-1.33,20.00,714054.76
2025-08-19,10,-12127.02,-1.70,40.00,701927.74
2025-08-20,10,19373.05,2.76,50.00,721300.79
2025-08-21,10,-1794.52,-0.25,50.00,719506.27
2025-08-22,10,-32626.36,-4.53,0.00,686879.91
2025-08-25,10,-15996.19,-2.33,20.00,670883.72
2025-08-26,10,-29164.98,-4.35,10.00,641718.74
2025-08-28,10,-9133.81,-1.42,30.00,632584.93
